"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"42","Hannah Vaughn","Mount Vernon Nazarene University","50","192.2","11","0","6","8","10","161.494","30.706"
"43","Elizabeth (Lizzy) Rittenour","Lindenwood University","43","192.116","10","2","2","5","7","170.718","21.399"
"44","De Alani Fishbeck","Lewis University","41","192","9","0","2","3","4","177.61","14.39"
"45","Emily Cheesman","Milligan University","46","191.739","10","0","1","1","8","170.856","20.883"
"46","McKenzie Mattice","St. Francis (IL) ,University Of","66","191.636","12","0","2","4","7","170.197","21.439"
"47","Kasey Eaton","Davenport University","58","191.362","11","0","2","4","8","168.498","22.864"
"48","Paige Plautz","Calumet College Of St. Joseph","53","190.623","9","0","2","2","5","168.389","22.233"
"49","Tori Justice","Oklahoma Christian University","45","190.022","9","1","1","1","3","180.757","9.265"
"50","Hailey Bozych","Lindenwood University","49","189.98","10","1","3","4","7","170.574","19.405"
"51","Laura Bartelt","Maryville University","45","189.933","9","0","0","1","3","185.028","4.906"
"52","Devon Thomas","Spring Arbor University","50","189.88","13","0","2","5","6","163.696","26.184"
"53","McKenzie Wagner","Northwestern Ohio ,University Of","55","189.691","11","1","3","4","8","163.543","26.148"
"54","Gabriella VanHorn","Concordia University","66","189.621","13","0","2","4","6","171.958","17.663"
"55","Abbey Ambroza","Ohio State University","52","189.5","10","2","4","7","8","161.185","28.315"
"56","Emilee Hughes","Concordia University","66","189.364","13","0","2","3","8","171.958","17.406"
"57","Afton Lords","Midway University","63","189.317","12","0","2","3","8","169.677","19.64"
"58","Allison Nape","St. Francis (IL) ,University Of","60","189.283","12","0","2","3","5","170.061","19.222"
"59","Brooke Kochel","Lawrence Technological University","49","189","13","0","1","3","5","170.208","18.792"
"60","Megan Gillson","Saint Xavier University","56","188.911","10","0","1","4","4","169.249","19.662"
"61","Sasha Uchwal","Midway University","70","188.857","13","0","1","3","10","168.936","19.921"
"62","Montana Hernandez","Spring Arbor University","44","188.705","13","0","2","3","4","164.648","24.057"
"62","Brianna Rickert","Milligan University","44","188.705","10","0","0","2","5","171.15","17.555"
"64","Kaitlyn Yearsich","St. Francis (IL) ,University Of","62","188.516","12","0","1","2","6","169.87","18.646"
"65","Whittney Morse","Coe College","51","188.51","10","0","3","6","8","166.39","22.12"
"66","Sienna Stoner","Southern Nazarene University","66","188.455","11","2","5","7","9","167.933","20.522"
"67","Meagan Kennedy","Indiana Institute Of Technology","58","188.431","12","0","1","4","9","170.49","17.941"
"68","Rachel Foreback","Notre Dame College","48","188.354","10","0","3","5","6","167.168","21.186"
"69","Olivia Daujatas","Saint Xavier University","51","188.353","9","1","1","1","5","169.204","19.149"
"70","Kadence Bottrall","Davenport University","55","188.327","11","0","2","3","5","168.877","19.451"
"71","Olivia Spaller","Madonna University","48","188.271","12","0","3","5","6","168.501","19.77"
"72","Macy Barber","Emmanuel University","45","188.267","9","0","3","5","5","170.169","18.097"
"73","Paige Frantz","University of the Cumberlands","53","187.83","10","0","2","2","5","169.471","18.359"
"74","Kelly Whipple","Wisc.-Whitewater","45","187.733","8","0","0","1","3","182.898","4.835"
